text,true_label,predicted_label
"Study: Few Americans Buy Drugs Online - NEW YORK - Only 4 percent of Americans have ever used the Internet to buy prescription drugs - and even fewer do so through foreign pharmacies - despite Web sites maintained by a handful of states to help citizens import medicines more cheaply from Canada, a new study finds.    A majority - 62 percent - believe drugs bought online are less safe than those purchased from a local pharmacy, accepting the federal government's stated concerns in opposing drug imports, the Pew Internet and American Life Project said in a report Sunday...",0,2
"Times to Scrap Broadsheet Edition - The Times is to scrap its broadsheet edition and go tabloid from Monday, it was confirmed today. The decision was made after a trial run of the compact edition proved a success, said editor Robert Thomson.",1,3
"FDA Approves Lens Implant to Sharpen Sight - WASHINGTON - There's a new option for people who suffer from extreme nearsightedness, whose world loses its crisp edge just a few inches from their noses. The first implantable lens for nearsightedness was approved Monday by the Food and Drug Administration...",0,3
"Travelocity Says Speed Is the Ticket For Growth - Sam Gilliand, the chief executive of Travelocity, talks about the online travel industry, the Cendant-Orbitz merger and the woes of the airline industry.",3,2
Silence the loose cannons - The US presidential election is finally over! Now the hard part begins. I #39;m not talking about getting North Korea back to the negotiating table; that will come soon enough.,0,2
Forecast Frosty for U.S.-Canadian Ties -   TORONTO -- The weather won't be the only thing that's cool when President Bush visits neighboring Canada next week.,0,3
IBM #39;s Blue Gene/L goes on sale -  quot;IBM plans to announce on Monday that the Blue Gene will be available immediately with a starting price of \$1.5 million. quot;.,3,2
SC to hear Zee petition tommorrow - Five judges of the top court will hear a petition filed by Zee Telefilms on Tuesday. A three-judge panel of the Supreme Court said a five-judge bench would hear the dispute that threatens the rights of India #39;s ,1,0
"Cingular to Reduce Work Force by Roughly 10 Percent, CEO Says - Cingular Wireless LLC, the nation's largest cell phone company, will cut about 10 percent of its 68,000 jobs over the next 12 to 18 months as it combines operations with the recently acquired AT T Wireless, Cingular's chief executive said Tuesday.",3,2
"High-Tech Start-Up Strives For Open-Source Compatibility - SourceLabs could create some buzz because of its pedigree team of founders. The company is led by Chief Executive Byron Sebastian, a former executive at San Jose #39;s BEA Systems, who founded the company in spring.",3,2
"Help wanted by IT services firms - The growing services industry is hiring, but tech workers looking for a job may need to do more than brush up on their coding.",3,2
"Cali Cartel Boss Sent to U.S. on Drug Charges -  BOGOTA, Colombia (Reuters) - The former boss of the Cali  drug cartel, who once controlled most of the world's cocaine  trade, was sent to the United States on Friday to face  trafficking and money laundering charges.",0,2
Terror is below radar in Russia - It took 2 days for Russia #39;s security service to announce what virtually everyone else believed from the moment two domestic passenger airlines plunged to earth simultaneously ,0,3
"Intel drops prices on computer chips - SAN FRANCISCO - Intel Corp. has cut prices on its computer chips by as much as 35 percent, though analysts on Monday said the cuts were probably unrelated to swelling inventories of the world #39;s largest chip maker.",3,2
"No tax on Internet access until at least 2007 - Consumers won #39;t have to pay a tax to log on to the Internet until at least 2007, after Congress voted Friday to renew a recently lapsed ban on Internet taxation.",2,3
